location,origin_date,target_date,output_type,output_type_id,value,target
ScV_N,2025-04-30,2025-05-31,quantile,0.01,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.05,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.1,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.15,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.2,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.25,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.3,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.35,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.4,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.45,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.5,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.55,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.6,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.65,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.7,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.75,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.8,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.85,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.9,0.0,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.95,0.1657573990290882,WNV cases
ScV_N,2025-04-30,2025-05-31,quantile,0.99,0.8908677730075958,WNV cases
ScV_N,2025-04-30,2025-05-31,cdf,0,0.94085615625,No WNV activity
ScV_S,2025-04-30,2025-05-31,quantile,0.01,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.05,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.1,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.15,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.2,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.25,0.0,WNV cases
ScV_S,2025-04-30,2025-05-31,quantile,0.3,0.0,WNV cases
